id;timeset;commclass
5;<[2001.0]>;"<[2001.0, 1]>"
6;<[2001.0, 2003.0]>;"<[2001.0, 3]; [2003.0, 1]>"
7;<[2001.0, 2005.0, 2006.0, 2007.0]>;"<[2001.0, 1]; [2005.0, 1]; [2006.0, 0]; [2007.0, 0]>"
8;<[2001.0]>;"<[2001.0, 1]>"
9;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 1]; [2004.0, 0]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
10;<[2001.0]>;"<[2001.0, 1]>"
11;<[2001.0]>;"<[2001.0, 1]>"
12;<[2001.0]>;"<[2001.0, 1]>"
13;<[2001.0]>;"<[2001.0, 1]>"
14;<[2001.0]>;"<[2001.0, 1]>"
15;<[2001.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 5]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
16;<[2001.0]>;"<[2001.0, 1]>"
17;<[2001.0]>;"<[2001.0, 1]>"
18;<[2001.0, 2005.0]>;"<[2001.0, 1]; [2005.0, 1]>"
19;<[2001.0, 2005.0]>;"<[2001.0, 1]; [2005.0, 1]>"
20;<[2001.0]>;"<[2001.0, 1]>"
21;<[2001.0]>;"<[2001.0, 1]>"
22;<[2001.0, 2006.0]>;"<[2001.0, 3]; [2006.0, 0]>"
23;<[2001.0, 2006.0]>;"<[2001.0, 3]; [2006.0, 1]>"
24;<[2001.0, 2005.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2005.0, 5]; [2007.0, 1]; [2009.0, 5]>"
25;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 0]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 5]; [2008.0, 5]; [2009.0, 5]>"
26;<[2001.0, 2002.0, 2004.0]>;"<[2001.0, 3]; [2002.0, 1]; [2004.0, 1]>"
27;<[2001.0, 2003.0, 2005.0, 2007.0]>;"<[2001.0, 1]; [2003.0, 1]; [2005.0, 5]; [2007.0, 1]>"
28;<[2001.0, 2003.0, 2005.0, 2009.0]>;"<[2001.0, 5]; [2003.0, 1]; [2005.0, 1]; [2009.0, 4]>"
29;<[2001.0]>;"<[2001.0, 1]>"
30;<[2001.0, 2005.0, 2006.0, 2007.0]>;"<[2001.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]>"
31;<[2001.0, 2003.0]>;"<[2001.0, 5]; [2003.0, 1]>"
32;<[2001.0, 2002.0, 2005.0, 2006.0]>;"<[2001.0, 1]; [2002.0, 4]; [2005.0, 1]; [2006.0, 1]>"
33;<[2001.0, 2004.0, 2005.0, 2006.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2004.0, 0]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2009.0, 5]>"
34;<[2001.0, 2002.0, 2006.0, 2007.0]>;"<[2001.0, 1]; [2002.0, 4]; [2006.0, 1]; [2007.0, 1]>"
35;<[2001.0, 2002.0, 2005.0, 2007.0]>;"<[2001.0, 1]; [2002.0, 4]; [2005.0, 1]; [2007.0, 1]>"
36;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2003.0, 3]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 0]; [2008.0, 1]; [2009.0, 5]>"
37;<[2001.0, 2002.0]>;"<[2001.0, 1]; [2002.0, 4]>"
38;<[2001.0]>;"<[2001.0, 1]>"
39;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2003.0, 3]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 0]; [2008.0, 1]; [2009.0, 5]>"
40;<[2001.0, 2002.0]>;"<[2001.0, 1]; [2002.0, 4]>"
41;<[2001.0]>;"<[2001.0, 1]>"
42;<[2001.0, 2002.0]>;"<[2001.0, 1]; [2002.0, 4]>"
43;<[2001.0]>;"<[2001.0, 1]>"
44;<[2001.0, 2006.0]>;"<[2001.0, 1]; [2006.0, 0]>"
