id;my_node_type
1000355;bc2001
1000356;bc2001
1000357;bc2001
1000358;bc2001
1000359;bc2001
1000360;bc2001
1000361;bc2001
1000362;bc2001
1000363;bc2001
1000364;bc2001
1000365;bc2001
1000366;bc2001
1000367;bc2001
1000368;bc2001
1000369;bc2001
1000370;bc2001
1000371;bc2001
1000372;bc2001
1000373;bc2001
1000374;bc2001
1000375;bc2001
1000376;bc2001
1000377;bc2001
1000378;bc2001
1000379;bc2001
1000380;bc2001
1000381;bc2001
1000382;bc2001
1000383;bc2001
1000384;bc2001
1000385;bc2001
1000386;bc2001
1000387;bc2001
1000388;bc2001
1000389;bc2001
1000390;bc2001
1000391;bc2001
1000392;bc2001
1000393;bc2001
1000394;bc2001
1000395;bc2001
1000396;bc2001
1000397;bc2001
1000398;bc2001
1000399;bc2001
1000400;bc2001
1000401;bc2001
1000402;bc2001
1000403;bc2001
1000404;bc2001
1000405;bc2001
1000406;bc2001
1000407;bc2001
1000408;bc2001
1000409;bc2001
1000410;bc2001
1000411;bc2001
1000412;bc2001
1000413;bc2001
1000414;bc2001
1000415;bc2001
1000416;bc2001
1000417;bc2001
1000418;bc2001
1000419;bc2001
1000420;bc2001
1000421;bc2001
1000422;bc2001
1000423;bc2001
1000424;bc2001
1000425;bc2001
1000426;bc2001
1000427;bc2001
1000428;bc2001
1000429;bc2001
1000430;bc2001
1000431;bc2001
1000432;bc2001
1000433;bc2001
1000434;bc2001
1000435;bc2001
1000436;bc2001
1000437;bc2001
1000438;bc2001
1000439;bc2001
1000440;bc2001
1000441;bc2001
1000442;bc2001
1000443;bc2001
1000444;bc2001
1000445;bc2001
1000446;bc2001
1000447;bc2001
1000448;bc2001
1000449;bc2001
1000450;bc2001
1000451;bc2001
1000452;bc2001
1000453;bc2001
1000454;bc2001
1000455;bc2001
1000456;bc2001
1000457;bc2001
1000458;bc2001
1000459;bc2001
1000460;bc2001
1000461;bc2001
1000462;bc2001
1000463;bc2001
1000464;bc2001
1000465;bc2001
1000466;bc2001
1000467;bc2001
1000468;bc2001
1000469;bc2001
1000470;bc2001
1000471;bc2001
1000472;bc2001
1000473;bc2001
1000474;bc2001
1000475;bc2001
1000476;bc2001
1000477;bc2001
1000478;bc2001
1000479;bc2001
1000480;bc2001
1000481;bc2001
1000482;bc2001
1000483;bc2001
1000484;bc2001
1000485;bc2001
1000486;bc2001
1000487;bc2001
1000488;bc2001
1000489;bc2001
1000490;bc2001
1000491;bc2001
1000492;bc2001
1000493;bc2001
1000494;bc2001
1000495;bc2001
1000496;bc2001
1000497;bc2001
1000498;bc2001
1000499;bc2001
1000500;bc2001
1000501;bc2001
1000502;bc2001
1000503;bc2001
1000504;bc2001
1000505;bc2001
1000506;bc2001
1000507;bc2001
1000508;bc2001
1000509;bc2001
1000510;bc2001
1000511;bc2001
1000512;bc2001
1000513;bc2001
1000514;bc2001
1000515;bc2001
1000516;bc2001
1000517;bc2001
1000518;bc2001
1000519;bc2001
1000520;bc2001
1000521;bc2001
1000522;bc2001
1000523;bc2001
1000524;bc2001
1000525;bc2001
1000526;bc2001
1000527;bc2001
1000528;bc2001
1000529;bc2001
1000530;bc2001
1000531;bc2001
1000532;bc2001
1000533;bc2001
1000534;bc2001
1000535;bc2001
1000536;bc2001
1000537;bc2001
1000538;bc2001
1000539;bc2001
1000540;bc2001
1000541;bc2001
1000542;bc2001
1000543;bc2001
1000544;bc2001
1000545;bc2001
1000546;bc2001
1000547;bc2001
1000548;bc2001
1000549;bc2001
1000550;bc2001
1000551;bc2001
1000552;bc2001
1000553;bc2001
1000554;bc2001
1000555;bc2001
1000556;bc2001
1000557;bc2001
