Source;Target;Type;Weight;CommLink
10001;2015;Directed;0.001;11
10001;2016;Directed;0.001;11
10001;2017;Directed;0.001;11
10001;2018;Directed;0.001;11
10001;2019;Directed;0.001;11
10001;2020;Directed;0.001;11
10001;2021;Directed;0.001;11
10001;2022;Directed;0.001;11
10001;2023;Directed;0.001;11
10001;2024;Directed;0.001;11
10001;2025;Directed;0.001;11
10001;2026;Directed;0.001;11
10001;2027;Directed;0.001;11
10001;2028;Directed;0.001;11
10001;2029;Directed;0.001;11
10001;2030;Directed;0.001;11
10001;2031;Directed;0.001;11
10001;2032;Directed;0.001;11
10001;2033;Directed;0.001;11
10001;2034;Directed;0.001;11
10001;2035;Directed;0.001;11
10001;2036;Directed;0.001;11
10001;2037;Directed;0.001;11
10001;2038;Directed;0.001;11
10001;2039;Directed;0.001;11
10001;2040;Directed;0.001;11
10001;2041;Directed;0.001;11
10001;2042;Directed;0.001;11
10001;2043;Directed;0.001;11
10001;2044;Directed;0.001;11
10001;2045;Directed;0.001;11
10001;2046;Directed;0.001;11
10001;2047;Directed;0.001;11
10001;2048;Directed;0.001;11
10001;2049;Directed;0.001;11
10001;2050;Directed;0.001;11
10001;2051;Directed;0.001;11
10001;2052;Directed;0.001;11
10001;2053;Directed;0.001;11
10001;2054;Directed;0.001;11
10001;2055;Directed;0.001;11
10001;2056;Directed;0.001;11
10001;2057;Directed;0.001;11
10001;2058;Directed;0.001;11
10001;2059;Directed;0.001;11
10001;2060;Directed;0.001;11
10001;2061;Directed;0.001;11
10001;2062;Directed;0.001;11
10001;2063;Directed;0.001;11
10001;2064;Directed;0.001;11
10001;2065;Directed;0.001;11
10001;2066;Directed;0.001;11
10001;2067;Directed;0.001;11
10001;2068;Directed;0.001;11
10001;2069;Directed;0.001;11
10001;2070;Directed;0.001;11
10001;2071;Directed;0.001;11
10001;2072;Directed;0.001;11
10001;2073;Directed;0.001;11
10001;2074;Directed;0.001;11
10001;2075;Directed;0.001;11
10001;2076;Directed;0.001;11
10001;2077;Directed;0.001;11
10001;2078;Directed;0.001;11
10001;2079;Directed;0.001;11
10001;2080;Directed;0.001;11
10001;2081;Directed;0.001;11
10001;2082;Directed;0.001;11
10001;2083;Directed;0.001;11
10001;2084;Directed;0.001;11
10001;2086;Directed;0.001;11
10001;2087;Directed;0.001;11
10001;2088;Directed;0.001;11
10001;2089;Directed;0.001;11
10001;2090;Directed;0.001;11
10001;2091;Directed;0.001;11
10001;2092;Directed;0.001;11
10001;2093;Directed;0.001;11
10001;2094;Directed;0.001;11
10001;2095;Directed;0.001;11
10001;2096;Directed;0.001;11
10001;2097;Directed;0.001;11
10001;2098;Directed;0.001;11
10001;2099;Directed;0.001;11
10001;2100;Directed;0.001;11
10001;2101;Directed;0.001;11
10001;2102;Directed;0.001;11
10001;2103;Directed;0.001;11
10001;2104;Directed;0.001;11
10001;2105;Directed;0.001;11
