2001;174;165;David B. Lomet
2001;173;166;Roger S. Barga
2001;172;167;Maryann E. Martone
2001;163;168;H. V. Jagadish
2001;162;169;Zhiyuan Chen
2001;161;170;Nagavamsi Ponnekanti
2001;160;171;Thanh Pham
2001;167;172;Divesh Srivastava
2001;166;173;Raymond T. Ng
2001;165;174;S. Muthukrishnan
2001;164;175;Flip Korn
2001;186;176;Luigi Palopoli
2001;187;177;Giorgio Terracina
2001;184;178;Jian Zheng
2001;185;179;Calisto Zuzarte
2001;190;180;Jennifer Widom
2001;191;181;Michael Rys
2001;188;182;Domenico Ursino
2001;189;183;Jun Yang 0001
2001;178;184;Theodore Johnson
2001;179;185;Samuel Kim
2001;176;186;Damianos Chatziantoniou
2001;177;187;Michael O. Akinde
2001;182;188;Jarek Gryz
2001;183;189;K. Bernhard Schiefer
2001;180;190;Adam Bosworth
2001;181;191;Torsten Grabs
2001;205;192;Yoon-Joon Lee
2001;204;193;Myoung-Ho Kim
2001;207;194;David Tweed
2001;206;195;Christian Heinlein
2001;201;196;Martin L. Kersten
2001;200;197;Albrecht Schmidt 0002
2001;203;198;Chang-Sup Park
2001;202;199;Menzo Windhouwer
2001;197;200;Markos Zaharioudakis
2001;196;201;Roberta Cochrane
2001;199;202;Per-Åke Larson
2001;198;203;Goetz Graefe
2001;193;204;Sheng Ma
2001;192;205;Woong-Kee Loh
2001;195;206;Wolfgang Lehner
2001;194;207;Joseph L. Hellerstein
2001;220;208;Sowmya Ramakrishnan
2001;221;209;Peter Forte
2001;222;210;Jamie D. Shutler
2001;223;211;Mark S. Nixon
2001;216;212;Farzin Mokhtarian
2001;217;213;Michael Walter
2001;218;214;Alexandra Psarrou
2001;219;215;Shaogang Gong
2001;212;216;Mike J. Chantler
2001;213;217;Hannes Kruppa
2001;214;218;Bernt Schiele
2001;215;219;Farahnaz Mohanna
2001;208;220;Andrew Calway
2001;209;221;Ming Xu
2001;210;222;Tim Ellis
2001;211;223;Ged McGunnigle
2001;239;224;Gavin C. Cawley
2001;238;225;Barry-John Theobald
2001;237;226;Timothy F. Cootes
2001;236;227;Rhodri H. Davies
2001;235;228;Richard Harvey
2001;234;229;Stuart E. Gibson
2001;233;230;Adrian A. Low
2001;232;231;Claude C. Chibelushi
2001;231;232;Fabrice Bourel
2001;230;233;Geoff Roberts
2001;229;234;Neil Rothwell Hughes
2001;228;235;Fangmin Shi
2001;227;236;Christopher J. Taylor
2001;226;237;Carole J. Twining
2001;225;238;Edwin R. Hancock
2001;224;239;Hossein Ragheb
2001;254;240;Maria Petrou
2001;255;241;A. J. Lacey
2001;252;242;Radhakrishnan Periasamy
2001;253;243;Alexander Kadyrov
2001;250;244;Gerald Schaefer
2001;251;245;Majid Mirmehdi
2001;248;246;S. Sudirman
2001;249;247;Graham D. Finlayson
2001;246;248;Nicholas Costen
2001;247;249;Guoping Qiu
2001;244;250;Yonatan Wexler
2001;245;251;Rama Chellappa
2001;242;252;Ghassan Hamarneh
2001;243;253;Tomas Gustavsson
2001;240;254;Silko Kruse
2001;241;255;J. Andrew Bangham
2001;275;256;Tomás Pajdla
2001;274;257;Tomás Werner
2001;273;258;Barry T. Thomas
2001;272;259;Henk L. Muller
2001;279;260;James S. Duncan
2001;278;261;Aaron Sloman
2001;277;262;Jim Graham
2001;276;263;Mike Rogers
2001;283;264;Jiri Matas
2001;282;265;Terry Windeatt
2001;281;266;Reza Ghaderi
2001;280;267;Josef Kittler
2001;287;268;Paul Clark
2001;286;269;Elizabeth Berry
2001;285;270;Andrew J. Bulpitt
2001;284;271;Derek R. Magee
2001;258;272;Stephen Pollard
2001;259;273;C. E. Tuke
2001;256;274;Neil A. Thacker
2001;257;275;Patrick Courtney
2001;262;276;Bjoern Stenger
2001;263;277;Paulo R. S. Mendonça
2001;260;278;S. E. M. O'Keefe
2001;261;279;Jim Austin
2001;266;280;Chandra Kambhamettu
2001;267;281;Carsten Koch
2001;264;282;Roberto Cipolla
2001;265;283;Pavel Laskov
2001;270;284;Anthimos Georgiadis
2001;271;285;Mark Everingham
2001;268;286;S.-B. Park
2001;269;287;Tim J. Ellis
2001;305;288;René Payrissat
2001;304;289;Pierre Gurdjos
2001;307;290;David W. Murray
2001;306;291;Ben Tordoff
2001;309;292;Antonio Robles-Kelly
2001;308;293;Chaoquan Chen
2001;311;294;Richard Bowden
2001;310;295;Pakorn KaewTrakulPong
2001;313;296;Christoph von der Malsburg
2001;312;297;Gabriele Peters
2001;315;298;Sarah V. Porter
2001;314;299;Jeffrey Ng
2001;317;300;Adrian F. Clark
2001;316;301;Michael C. Lincoln
2001;319;302;Andrew W. Fitzgibbon
2001;318;303;Dimitrios Makris
2001;288;304;Paul A. Bromiley
2001;289;305;Petko Faber
2001;290;306;Robert B. Fisher
2001;291;307;James P. Mammen
2001;292;308;Subhasis Chaudhuri
2001;293;309;Tushar Agrawal
2001;294;310;Vincent E. Devin
2001;295;311;David C. Hogg
2001;296;312;Jacinto C. Nascimento
2001;297;313;Jorge S. Marques
2001;298;314;Yongmin Li
2001;299;315;Heather M. Liddell
2001;300;316;Daniel Oram
2001;301;317;Robert Marti
2001;302;318;Reyer Zwiggelaar
2001;303;319;Caroline M. E. Rubin
2001;343;320;Manabu Hashimoto
2001;342;321;Jean Serra
2001;341;322;Allan Hanbury
2001;340;323;Julian Lewthwaite
2001;339;324;Ian Craw
2001;338;325;David A. Brown
2001;337;326;Martin Weber
2001;336;327;George Vosselman
2001;351;328;Ioana Manolescu
2001;350;329;José Santos-Victor
2001;349;330;Diego Ortin
2001;348;331;Etienne Grossmann
2001;347;332;Jana Kosecka
2001;346;333;Roland Wilson
2001;345;334;Abhir Bhalerao
2001;344;335;Kazuhiko Sumi
2001;326;336;Chris J. Needham
2001;327;337;Roger D. Boyle
2001;324;338;Marco Zucchelli
2001;325;339;Henrik I. Christensen
2001;322;340;Jeff P. Foster
2001;323;341;Adam Prügel-Bennett
2001;320;342;Hans Henrik Thodberg
2001;321;343;A. Rosholm
2001;334;344;Graeme A. Jones
2001;335;345;Ildiko Suveg
2001;332;346;Michael S. Lew
2001;333;347;Paolo Remagnino
2001;330;348;John Illingworth
2001;331;349;Nicu Sebe
2001;328;350;Jonathan Starck
2001;329;351;Adrian Hilton
2001;373;352;Nam Huyn
2001;372;353;Stanley B. Zdonik
2001;375;354;Bongki Moon
2001;374;355;Quanzhong Li
2001;369;356;Daniela Grigori
2001;368;357;Mihnea Andrei
2001;371;358;Michael J. Franklin
2001;370;359;Mitch Cherniack
2001;381;360;Vinay Srihari
2001;380;361;Tirthankar Lahiri
2001;383;362;N. MacNaughton
2001;382;363;Wilson Chan
2001;377;364;Ahmed K. Elmagarmid
2001;376;365;Athman Bouguettaya
2001;379;366;Mourad Ouzzani
2001;378;367;Brahim Medjahed
2001;356;368;Kyuseok Shim
2001;357;369;Phillip B. Gibbons
2001;358;370;Shu Lin
2001;359;371;M. Tamer Özsu
2001;352;372;Daniela Florescu
2001;353;373;Wolfgang May
2001;354;374;Cui Yu
2001;355;375;Sriram Raghavan
2001;364;376;Michael Stillger
2001;365;377;Volker Markl
2001;366;378;Mokhtar Kandil
2001;367;379;Egbert-Jan Sol
2001;360;380;Vincent Oria
2001;361;381;Nicolas Anciaux
2001;362;382;Christophe Bobineau
2001;363;383;Philippe Pucheral
2001;410;384;Thomas Stöhr
2001;411;385;Erhard Rahm
2001;408;386;Amit Somani
2001;409;387;Yirong Xu
2001;414;388;Seema Sundara
2001;415;389;Ying Hu
2001;412;390;Philip Wadler
2001;413;391;Pierre-Paul Sondag
2001;402;392;Paola Patteri
2001;403;393;Pina Ticca
2001;400;394;Rossella Molinaro
2001;401;395;Mario Paolucci
2001;406;396;Le Gruenwald
2001;407;397;Rakesh Agrawal
2001;404;398;Luciana Duranti
2001;405;399;Leonard Brown
2001;395;400;Leonardo Tininini
2001;394;401;Giuseppe Sindoni
2001;393;402;Carlo Zaniolo
2001;392;403;Vassilis J. Tsotras
2001;399;404;Orietta Gargano
2001;398;405;Stefano De Francisci
2001;397;406;Cristina Bedeschi
2001;396;407;Amedea Ambrosetti
2001;387;408;Kevin S. McCurley
2001;386;409;Ravi Kumar
2001;385;410;Stephen Dill
2001;384;411;Sashikanth Chandrasekaran
2001;391;412;Shu-Yao Chien
2001;390;413;Andrew Tomkins
2001;389;414;D. Sivakumar
2001;388;415;Sridhar Rajagopalan
2001;440;416;Helen M. Thomas
2001;441;417;Debra E. VanderMeer
2001;442;418;Krithi Ramamritham
2001;443;419;Dan Fishman
2001;444;420;Atsuyuki Morishima
2001;445;421;Seiichi Koizumi
2001;446;422;Hiroyuki Kitagawa
