2013-12-23,00:00,:(,1221	
2013-12-23,01:00,:(,1291	
2013-12-23,02:00,:(,1512	
2013-12-23,03:00,:(,1645	
2013-12-23,04:00,:(,1604	
2013-12-23,05:00,:(,1559	
2013-12-23,06:00,:(,1397	
2013-12-23,07:00,:(,1149	
2013-12-23,08:00,:(,1174	
2013-12-23,09:00,:(,1197	
2013-12-23,10:00,:(,1285	
2013-12-23,11:00,:(,1136	
2013-12-23,12:00,:(,1340	
2013-12-23,13:00,:(,1407	
2013-12-23,14:00,:(,1375	
2013-12-23,15:00,:(,1427	
2013-12-23,16:00,:(,1467	
2013-12-23,17:00,:(,1459	
2013-12-23,18:00,:(,1320	
2013-12-23,19:00,:(,1100	
2013-12-23,20:00,:(,1044	
2013-12-23,21:00,:(,991	
2013-12-23,22:00,:(,1049	
2013-12-23,23:00,:(,1180	
2013-12-24,00:00,:(,18	
2013-12-23,00:00,:),3634	
2013-12-23,01:00,:),3855	
2013-12-23,02:00,:),4217	
2013-12-23,03:00,:),4331	
2013-12-23,04:00,:),4195	
2013-12-23,05:00,:),3942	
2013-12-23,06:00,:),3513	
2013-12-23,07:00,:),3129	
2013-12-23,08:00,:),3106	
2013-12-23,09:00,:),3270	
2013-12-23,10:00,:),3142	
2013-12-23,11:00,:),3258	
2013-12-23,12:00,:),4280	
2013-12-23,13:00,:),3115	
2013-12-23,14:00,:),3128	
2013-12-23,15:00,:),3035	
2013-12-23,16:00,:),3123	
2013-12-23,17:00,:),3103	
2013-12-23,18:00,:),2868	
2013-12-23,19:00,:),2625	
2013-12-23,20:00,:),2577	
2013-12-23,21:00,:),2673	
2013-12-23,22:00,:),3072	
2013-12-23,23:00,:),3650	
2013-12-24,00:00,:),49	
2013-12-23,00:00,XD,336	
2013-12-23,01:00,XD,343	
2013-12-23,02:00,XD,461	
2013-12-23,03:00,XD,475	
2013-12-23,04:00,XD,406	
2013-12-23,05:00,XD,357	
2013-12-23,06:00,XD,297	
2013-12-23,07:00,XD,288	
2013-12-23,08:00,XD,276	
2013-12-23,09:00,XD,266	
2013-12-23,10:00,XD,236	
2013-12-23,11:00,XD,245	
2013-12-23,12:00,XD,268	
2013-12-23,13:00,XD,267	
2013-12-23,14:00,XD,295	
2013-12-23,15:00,XD,308	
2013-12-23,16:00,XD,316	
2013-12-23,17:00,XD,351	
2013-12-23,18:00,XD,310	
2013-12-23,19:00,XD,296	
2013-12-23,20:00,XD,249	
2013-12-23,21:00,XD,259	
2013-12-23,22:00,XD,282	
2013-12-23,23:00,XD,321	
2013-12-24,00:00,XD,1	
2013-12-23,00:00,happy,436	
2013-12-23,01:00,happy,474	
2013-12-23,02:00,happy,522	
2013-12-23,03:00,happy,641	
2013-12-23,04:00,happy,708	
2013-12-23,05:00,happy,707	
2013-12-23,06:00,happy,672	
2013-12-23,07:00,happy,567	
2013-12-23,08:00,happy,546	
2013-12-23,09:00,happy,511	
2013-12-23,10:00,happy,593	
2013-12-23,11:00,happy,652	
2013-12-23,12:00,happy,675	
2013-12-23,13:00,happy,663	
2013-12-23,14:00,happy,637	
2013-12-23,15:00,happy,623	
2013-12-23,16:00,happy,670	
2013-12-23,17:00,happy,645	
2013-12-23,18:00,happy,711	
2013-12-23,19:00,happy,583	
2013-12-23,20:00,happy,386	
2013-12-23,21:00,happy,396	
2013-12-23,22:00,happy,409	
2013-12-23,23:00,happy,369	
2013-12-24,00:00,happy,4	
2013-12-23,00:00,lonely,11	
2013-12-23,01:00,lonely,19	
2013-12-23,02:00,lonely,17	
2013-12-23,03:00,lonely,20	
2013-12-23,04:00,lonely,25	
2013-12-23,05:00,lonely,28	
2013-12-23,06:00,lonely,33	
2013-12-23,07:00,lonely,35	
2013-12-23,08:00,lonely,30	
2013-12-23,09:00,lonely,41	
2013-12-23,10:00,lonely,25	
2013-12-23,11:00,lonely,33	
2013-12-23,12:00,lonely,28	
2013-12-23,13:00,lonely,31	
2013-12-23,14:00,lonely,38	
2013-12-23,15:00,lonely,45	
2013-12-23,16:00,lonely,48	
2013-12-23,17:00,lonely,42	
2013-12-23,18:00,lonely,58	
2013-12-23,19:00,lonely,37	
2013-12-23,20:00,lonely,37	
2013-12-23,21:00,lonely,27	
2013-12-23,22:00,lonely,25	
2013-12-23,23:00,lonely,20	
2013-12-23,00:00,sad,479	
2013-12-23,01:00,sad,479	
2013-12-23,02:00,sad,605	
2013-12-23,03:00,sad,817	
2013-12-23,04:00,sad,814	
2013-12-23,05:00,sad,762	
2013-12-23,06:00,sad,776	
2013-12-23,07:00,sad,775	
2013-12-23,08:00,sad,729	
2013-12-23,09:00,sad,815	
2013-12-23,10:00,sad,799	
2013-12-23,11:00,sad,905	
2013-12-23,12:00,sad,891	
2013-12-23,13:00,sad,921	
2013-12-23,14:00,sad,852	
2013-12-23,15:00,sad,848	
2013-12-23,16:00,sad,893	
2013-12-23,17:00,sad,859	
2013-12-23,18:00,sad,828	
2013-12-23,19:00,sad,593	
2013-12-23,20:00,sad,476	
2013-12-23,21:00,sad,422	
2013-12-23,22:00,sad,457	
2013-12-23,23:00,sad,519	
2013-12-24,00:00,sad,10	
