I,feel,Hurst,1	
I,feel,I,34	
I,feel,IT,2	
I,feel,If,1	
I,feel,InLove,1	
I,feel,Inlove,1	
I,feel,Is,1	
I,feel,It,4	
I,feel,LEFT,1	
I,feel,LIKE,29	
I,feel,LOST,1	
I,feel,LUCKY,2	
I,feel,Lik,1	
I,feel,Like,13	
I,feel,Live,1	
I,feel,Love,1	
I,feel,MY,3	
I,feel,My,2	
I,feel,Nothing,1	
I,feel,OMG,1	
I,feel,Obliged,7	
I,feel,Old,1	
I,feel,Peeta,1	
I,feel,Pretty,1	
I,feel,RN,2	
I,feel,Ratchet,1	
I,feel,Right,1	
I,feel,Rihanna,1	
I,feel,SHE,1	
I,feel,SICK,4	
I,feel,SO,23	
I,feel,SORRY,1	
I,feel,SUPER,1	
I,feel,SUSPICIOUS,1	
I,feel,Shit,1	
I,feel,Sick,3	
I,feel,Single,1	
I,feel,So,4	
I,feel,Soo,1	
I,feel,Sorry,1	
I,feel,THE,3	
I,feel,This,1	
I,feel,Tomorrow,1	
I,feel,Traval,1	
I,feel,U,3	
I,feel,UnWanted,1	
I,feel,VIOLENTLY,1	
I,feel,WIDE,1	
I,feel,Way,2	
I,feel,YA,2	
I,feel,YAAAAA,1	
I,feel,YOU,12	
I,feel,YOUU,1	
I,feel,You,3	
I,feel,a,37	
I,feel,ab,1	
I,feel,abit,1	
I,feel,about,176	
I,feel,aboutcha,1	
I,feel,absolutely,3	
I,feel,abstract,1	
I,feel,accomplished,2	
I,feel,ad,1	
I,feel,after,5	
I,feel,again,1	
I,feel,alienated,1	
I,feel,alive,8	
I,feel,all,5	
I,feel,alone,6	
I,feel,alright,1	
I,feel,amazing,4	
I,feel,ancient,1	
I,feel,and,7	
I,feel,annoying,2	
I,feel,another,3	
I,feel,anxious,1	
I,feel,anymore,3	
I,feel,around,1	
I,feel,as,32	
I,feel,ashamed,2	
I,feel,asleep,4	
I,feel,at,3	
I,feel,awesome,4	
I,feel,awful,7	
I,feel,awkward,19	
I,feel,babyy,1	
I,feel,back,1	
I,feel,bad,201	
I,feel,badass,1	
I,feel,bald,1	
I,feel,because,3	
I,feel,before,1	
I,feel,better,33	
I,feel,black,1	
I,feel,blessed,6	
I,feel,boring,2	
I,feel,bout,3	
I,feel,bro,1	
I,feel,broke,3	
I,feel,btwn,3	
I,feel,but,3	
I,feel,butterflies,1	
I,feel,cause,1	
I,feel,christmas,1	
I,feel,cl,1	
I,feel,closer,1	
I,feel,clueless,1	
I,feel,cold,2	
I,feel,comfortable,2	
I,feel,compelet,1	
I,feel,compelled,1	
I,feel,complete,3	
I,feel,completely,3	
I,feel,conflicted,1	
I,feel,cool,2	
I,feel,crazy,1	
I,feel,creepy,1	
I,feel,crushing,1	
I,feel,cute,2	
I,feel,dead,10	
I,feel,decent,1	
I,feel,defeated,1	
I,feel,destroyed,1	
I,feel,determined,1	
I,feel,dirty,1	
I,feel,disgusted,1	
I,feel,disgusting,4	
I,feel,disgustingly,1	
I,feel,disrespected,3	
I,feel,dizzy,3	
I,feel,do,1	
I,feel,doing,1	
I,feel,down,3	
I,feel,drunk,2	
I,feel,dumb,6	
I,feel,during,1	
I,feel,em,1	
I,feel,embarrassed,2	
I,feel,emotional,1	
I,feel,emptiness,1	
I,feel,empty,3	
I,feel,enlightened,1	
I,feel,even,5	
I,feel,every,6	
I,feel,everyday,2	
I,feel,everything,3	
I,feel,ew,1	
I,feel,exactly,1	
I,feel,exceptionally,1	
I,feel,excited,1	
I,feel,exhausted,1	
I,feel,extra,2	
I,feel,extremely,2	
I,feel,fabulous,1	
I,feel,fantastic,1	
I,feel,fat,8	
I,feel,fine,9	
I,feel,fireworks,1	
I,feel,for,45	
I,feel,free,4	
I,feel,freedom,1	
I,feel,freeee,1	
I,feel,fresh,2	
I,feel,from,1	
I,feel,fucking,3	
I,feel,full,1	
I,feel,gayer,1	
I,feel,generous,1	
I,feel,giddy,1	
I,feel,girl,1	
I,feel,going,1	
I,feel,good,16	
I,feel,goooddd,1	
I,feel,great,13	
I,feel,greedy,1	
I,feel,gross,5	
I,feel,guilt,1	
I,feel,guilty,6	
I,feel,h,1	
I,feel,half,1	
I,feel,happy,6	
I,feel,having,1	
I,feel,he,2	
I,feel,her,3	
I,feel,high,1	
I,feel,him,1	
I,feel,his,1	
I,feel,homesick,1	
I,feel,honored,2	
I,feel,hopeless,1	
I,feel,horrible,17	
I,feel,hot,2	
I,feel,how,1	
I,feel,http,8	
I,feel,hungover,1	
I,feel,hurted,1	
I,feel,icky,1	
I,feel,if,3	
I,feel,ignored,1	
I,feel,ill,3	
I,feel,immortal,1	
I,feel,important,1	
I,feel,in,10	
I,feel,incomplete,1	
I,feel,inlove,1	
I,feel,insane,1	
I,feel,insecure,1	
I,feel,inside,5	
I,feel,insideAnd,1	
I,feel,inspired,2	
I,feel,intelligent,1	
I,feel,intimidatedly,1	
I,feel,is,8	
I,feel,it,102	
I,feel,its,2	
I,feel,jubilant,1	
I,feel,just,8	
I,feel,kinda,7	
I,feel,lazier,8	
I,feel,lbvs,1	
I,feel,left,6	
I,feel,less,3	
I,feel,life,1	
I,feel,like,2030	
I,feel,likee,1	
I,feel,likes,1	
I,feel,liverpool,1	
I,feel,living,1	
I,feel,lol,2	
I,feel,lonely,5	
I,feel,looking,1	
I,feel,lost,7	
I,feel,love,1	
I,feel,loved,6	
I,feel,low,1	
I,feel,loyal,1	
I,feel,lucky,5	
I,feel,lyk,2	
I,feel,mad,1	
I,feel,majorly,1	
I,feel,makes,1	
I,feel,man,1	
I,feel,me,2	
I,feel,mentally,1	
I,feel,miserable,1	
I,feel,missing,1	
I,feel,more,23	
I,feel,most,1	
I,feel,much,2	
I,feel,my,14	
I,feel,myself,5	
I,feel,naked,4	
I,feel,nasty,1	
I,feel,naughty,1	
I,feel,nauseous,2	
I,feel,necessary,1	
I,feel,needs,1	
I,feel,neglected,1	
I,feel,next,1	
I,feel,nice,3	
I,feel,no,9	
I,feel,normal,2	
I,feel,not,3	
I,feel,nothing,6	
I,feel,now,5	
I,feel,numb,3	
I,feel,obligated,3	
I,feel,obliged,1	
I,feel,offended,1	
I,feel,ok,1	
I,feel,okay,2	
I,feel,old,9	
I,feel,olllllllllllldddddddddddd,1	
I,feel,on,4	
I,feel,one,1	
I,feel,or,2	
I,feel,our,1	
I,feel,out,2	
I,feel,outrage,1	
I,feel,pain,6	
I,feel,painnn,1	
I,feel,part,1	
I,feel,pathetic,1	
I,feel,patriotic,1	
I,feel,people,1	
I,feel,perfect,2	
I,feel,perfectly,1	
I,feel,phsyco,1	
I,feel,pity,1	
I,feel,played,1	
I,feel,poppinnnnnn,1	
I,feel,ppl,1	
I,feel,prepared,1	
I,feel,pretty,16	
I,feel,proud,2	
I,feel,psychotic,1	
I,feel,quite,1	
I,feel,radioactive,1	
I,feel,rather,2	
I,feel,re,1	
I,feel,read,1	
I,feel,really,47	
I,feel,refreshed,1	
I,feel,relieved,1	
I,feel,relived,1	
I,feel,represent,1	
I,feel,restless,1	
I,feel,right,36	
I,feel,rite,3	
I,feel,rn,8	
I,feel,rough,1	
I,feel,ryt,1	
I,feel,sad,8	
I,feel,sadI,1	
I,feel,safe,5	
I,feel,safer,1	
I,feel,same,1	
I,feel,saved,1	
I,feel,selfish,2	
I,feel,sexy,1	
I,feel,shaky,1	
I,feel,shaving,1	
I,feel,shit,2	
I,feel,shitty,1	
I,feel,should,1	
I,feel,sick,53	
I,feel,sleepy,1	
I,feel,slightly,1	
I,feel,slow,1	
I,feel,smart,1	
I,feel,so,445	
I,feel,some,15	
I,feel,somethin,1	
I,feel,something,10	
I,feel,soo,5	
I,feel,sooo,4	
I,feel,soooo,3	
I,feel,sooooo,1	
I,feel,sorry,64	
I,feel,special,18	
I,feel,spoiled,1	
I,feel,stranded,1	
I,feel,strange,1	
I,feel,stuffed,1	
I,feel,stupid,32	
I,feel,subtweeted,1	
I,feel,successful,1	
I,feel,suh,1	
I,feel,super,3	
I,feel,sympathy,1	
I,feel,taken,1	
I,feel,talking,1	
I,feel,teen,1	
I,feel,terrible,10	
I,feel,that,33	
I,feel,the,108	
I,feel,their,1	
I,feel,them,1	
I,feel,then,2	
I,feel,there,2	
I,feel,these,3	
I,feel,they,3	
I,feel,this,18	
I,feel,tired,3	
I,feel,to,5	
I,feel,today,6	
I,feel,too,2	
I,feel,totally,2	
I,feel,towards,4	
I,feel,twice,1	
I,feel,type,1	
I,feel,u,25	
I,feel,ugly,4	
I,feel,uncomfortable,8	
I,feel,until,1	
I,feel,unwanted,5	
I,feel,unwell,1	
I,feel,upset,1	
I,feel,ur,3	
I,feel,used,1	
I,feel,very,12	
I,feel,vile,1	
I,feel,violated,3	
I,feel,wan,1	
I,feel,wanna,1	
I,feel,warm,1	
I,feel,way,1	
I,feel,wayyyy,1	
I,feel,we,1	
I,feel,weak,5	
I,feel,wearing,1	
I,feel,weird,20	
I,feel,well,1	
I,feel,were,1	
I,feel,what,1	
I,feel,when,29	
I,feel,whenever,1	
I,feel,where,2	
I,feel,winded,1	
I,feel,with,3	
I,feel,within,1	
I,feel,without,2	
I,feel,working,1	
I,feel,worthless,1	
I,feel,y,3	
I,feel,ya,51	
I,feel,yah,3	
I,feel,yea,1	
I,feel,you,171	
I,feel,youCause,1	
I,feel,your,37	
I,feel,youu,1	
I,feel,youuuuuu,1	
I,feel,youuuuuuuuuu,1	
I,feel,yu,1	
I,feel,yucky,2	
ICANT,feel,MY,1	
IKarsche,feel,sooooo,1	
IT,feel,LIKE,8	
IT,feel,RUINING,1	
IT,feel,SO,1	
IT,feel,TO,2	
If,feel,like,1	
Ii,feel,soo,1	
Im,feel,like,1	
Im_RobJay,feel,Better,1	
Ima,feel,bad,1	
Indy,feel,extra,1	
Ion,feel,Good,1	
Ion,feel,Like,1	
Ion,feel,The,1	
Ion,feel,comfortable,1	
Ion,feel,good,4	
Ion,feel,it,1	
Ion,feel,like,7	
Ion,feel,shit,1	
Ion,feel,the,1	
Iont,feel,Likee,1	
Iont,feel,like,1	
Islamics,feel,the,1	
It,feel,Bomb,1	
It,feel,Good,2	
It,feel,Like,6	
It,feel,decent,1	
It,feel,good,8	
It,feel,great,1	
It,feel,is,1	
It,feel,late,1	
It,feel,later,1	
It,feel,like,11	
It,feel,likes,1	
It,feel,nice,1	
It,feel,so,6	
It,feel,soo,1	
It,feel,to,1	
It,feel,too,2	
It,feel,wayyy,1	
Its,feel,good,1	
JJONG,feel,NEEDED,1	
JOSHFLIP1989,feel,like,1	
JUST,feel,3,1	
JUST,feel,THAT,1	
Ja,feel,http,6	
Jake_Ramsey_,feel,sorry,1	
Jesus,feel,so,1	
Julie,feel,almost,1	
JulienMevs,feel,the,1	
Just,feel,2014,1	
Just,feel,like,6	
Just,feel,next,1	
Just,feel,silly,1	
Just,feel,some,1	
Just,feel,the,1	
Justin,feel,like,1	
Justissssss_,feel,me,1	
Kasi,feel,na,1	
Kinda,feel,like,3	
Kinda,feel,sadface,1	
LEAHPALACIO,feel,FREE,1	
LOOL,feel,free,1	
LY,feel,BETTER,1	
Lilfeeq,feel,better,1	
Literally,feel,Christmas,1	
Literally,feel,like,7	
Literally,feel,so,1	
Literly,feel,nothing,1	
LoveWe,feel,nothing,8	
Lowkey,feel,Like,1	
Lowkey,feel,like,1	
Lowkey,feel,stupid,1	
ME,feel,BAD,1	
ME,feel,BETTER,3	
ME,feel,CLOSE,1	
ME,feel,LIKE,4	
ME,feel,PROUD,1	
ME,feel,THINGS,45	
ME,feel,UNCOMFORTABLE,1	
ME,feel,http,1	
MEisJboy,feel,man,1	
Man,feel,He,1	
Many,feel,Agger,1	
MdotTRILL,feel,better,1	
Me,feel,Behind,1	
Me,feel,I,1	
Me,feel,So,1	
Me,feel,Special,1	
Me,feel,Unwanted,1	
Me,feel,some,1	
Mel,feel,the,1	
MelanieLBBH,feel,better,1	
Mf,feel,Hit,1	
Mfs,feel,like,1	
Might,feel,Good,1	
MileyCyrus,feel,better,1	
Mr,feel,wosre,1	
Music,feel,Better,1	
Must,feel,good,1	
Must,feel,really,1	
MyniqueSmith,feel,some,1	
NAKA,feel,NA,1	
NOT,feel,ANYTHING,1	
NOT,feel,LIKE,2	
NOT,feel,like,27	
NP,feel,this,1	
NVER,feel,Like,1	
NathanMilch,feel,better,1	
Never,feel,100,1	
Never,feel,Good,2	
Never,feel,appreciated,1	
Never,feel,lonely,1	
Never,feel,proud,1	
Never,feel,some,1	
Never,feel,too,1	
NickPang1,feel,v,1	
Nigga,feel,like,1	
Niggas,feel,Me,1	
Niggas,feel,me,1	
NikkiBellababe,feel,better,1	
No,feel,for,1	
Nobody,feel,like,1	
Not,feel,Like,1	
Now,feel,shit,1	
Ohjeyson_,feel,better,1	
Okkie,feel,better,1	
PEOPLE,feel,THE,1	
PO,feel,NA,1	
PROBLEM,feel,FREE,1	
Past,feel,Days,1	
Penuh,feel,Achey,1	
People,feel,some,1	
Please,feel,free,4	
Profits,feel,motivating,1	
Prolly,feel,Asleep,1	
Promoter,feel,graceful,1	
Q_Smith100,feel,like,1	
REALLY,feel,LIKE,1	
Really,feel,Like,1	
Really,feel,for,2	
Really,feel,like,3	
Rogersssss,feel,you,1	
RuzannaNatalia,feel,better,1	
SHOULD,feel,LOVED,1	
