id;timeset;commclass
1009158;<[2005.0, 2010.0]>;"<[2005.0, 1]; [2010.0, 1]>"
1009182;<[2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009197;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 0]; [2008.0, 1]; [2009.0, 3]; [2010.0, 1]>"
1009206;<[2005.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009207;<[2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009211;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009212;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2007.0, 5]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009214;<[2005.0, 2007.0, 2008.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 1]; [2008.0, 1]; [2010.0, 1]>"
1009215;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 1]; [2010.0, 1]>"
1009243;<[2005.0, 2007.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 3]; [2010.0, 1]>"
1009245;<[2005.0, 2007.0, 2010.0]>;"<[2005.0, 5]; [2007.0, 1]; [2010.0, 1]>"
1009259;<[2005.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2009.0, 5]; [2010.0, 5]>"
1009260;<[2005.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2009.0, 1]; [2010.0, 1]>"
1009266;<[2005.0, 2007.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 1]; [2009.0, 3]; [2010.0, 1]>"
1009268;<[2005.0, 2007.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 3]; [2009.0, 5]; [2010.0, 1]>"
1009269;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 3]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009271;<[2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 5]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009278;<[2005.0, 2010.0]>;"<[2005.0, 1]; [2010.0, 4]>"
1009279;<[2005.0, 2007.0, 2008.0, 2010.0]>;"<[2005.0, 5]; [2007.0, 3]; [2008.0, 1]; [2010.0, 1]>"
1009282;<[2005.0, 2007.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 3]; [2009.0, 1]; [2010.0, 1]>"
1009299;<[2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2007.0, 5]; [2008.0, 5]; [2009.0, 0]; [2010.0, 1]>"
1009307;<[2005.0, 2010.0]>;"<[2005.0, 1]; [2010.0, 1]>"
1009308;<[2005.0, 2010.0]>;"<[2005.0, 1]; [2010.0, 1]>"
1009348;<[2005.0, 2007.0, 2008.0, 2010.0]>;"<[2005.0, 0]; [2007.0, 1]; [2008.0, 1]; [2010.0, 5]>"
1009355;<[2005.0, 2006.0, 2007.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1009358;<[2005.0, 2006.0, 2008.0, 2010.0]>;"<[2005.0, 5]; [2006.0, 0]; [2008.0, 1]; [2010.0, 0]>"
1009360;<[2005.0, 2006.0, 2007.0, 2009.0, 2010.0]>;"<[2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2009.0, 3]; [2010.0, 1]>"
